page_id,type,slug,target_keyword,volume,kd,cluster,meta_title,word_count_target,internal_links_to,phase,status,notes
P062,tax-answer,/tax-answers/tax-filing-deadline-2025/,tax filing deadline 2025,1800,12,tax-deadlines,"Tax Filing Deadline 2025: Key Dates and What to Do If You Miss It",550,"/tax-answers/deadline-to-file-taxes-2025/|/tax-answers/important-tax-dates/|/tax-answers/",1,build,URGENT — publish first week. April 15 is coming. Highest seasonal traffic right now.
P063,tax-answer,/tax-answers/deadline-to-file-taxes-2025/,deadline to file taxes 2025,1700,12,tax-deadlines,"Deadline to File Taxes 2025: What Happens If You Miss It",500,"/tax-answers/tax-filing-deadline-2025/|/tax-answers/important-tax-dates/|/tax-answers/",1,build,URGENT — companion to P062. Same cluster. Both should go live first week.
P064,tax-answer,/tax-answers/important-tax-dates/,important tax dates and deadlines throughout the year,900,9,tax-deadlines,"Important Tax Dates and Deadlines 2025-2026: Complete Calendar",600,"/tax-answers/tax-filing-deadline-2025/|/tax-answers/deadline-to-file-taxes-2025/|/tax-answers/",1,build,Hub page for tax deadlines cluster. Links to both deadline pages.
P065,tax-answer,/tax-answers/principal-business-code-lookup/,principal business code lookup,4900,4,business-self-employed,"Principal Business Code Lookup: Find Your IRS Code (Schedule C)",600,"/tax-answers/business-activity-code-lookup/|/tax-answers/do-llc-get-1099/|/tax-answers/",2,build,High volume KD 4. TaxGPT ranks position 25 — beatable. EAV: include actual code table or lookup tool link.
P066,tax-answer,/tax-answers/what-type-of-tax-for-retired-people/,what type of tax is used as income by retired people and people with disabilities,4900,3,income-concepts,"What Type of Tax Do Retired People and People with Disabilities Pay?",550,"/tax-answers/what-is-medicare-tax/|/tax-answers/are-disability-benefits-taxable/|/tax-answers/",2,build,KD 3 at 4900 vol — TaxGPT barely ranks. Answer: Social Security benefits tax / Medicare / fixed income tax.
P067,tax-answer,/tax-answers/macrs-depreciation/,macrs,4800,15,business-self-employed,"MACRS Depreciation: What It Is and How to Calculate It (2025)",700,"/tax-answers/principal-business-code-lookup/|/tax-answers/unreimbursed-employee-expenses/|/tax-answers/",2,build,KD 15 but 4800 vol. TaxGPT at position 62 — very beatable. Include depreciation schedule table.
P068,tax-answer,/tax-answers/suppressor-tax-stamp/,suppressor tax stamp,2600,2,specialty-tax,"Suppressor Tax Stamp: Cost, Process & How Long It Takes (2025)",600,"/tax-answers/tax-stamp-for-suppressor/|/tax-answers/how-to-get-a-suppressor-tax-stamp/|/tax-answers/",2,build,KD 2 at 2600 vol. Niche but high-volume low-competition. NFA Form 4 process. Easy featured snippet win.
P069,tax-answer,/tax-answers/tax-stamp-for-suppressor/,tax stamp for suppressor,1700,4,specialty-tax,"Tax Stamp for a Suppressor: The $200 NFA Process Explained",550,"/tax-answers/suppressor-tax-stamp/|/tax-answers/how-to-get-a-suppressor-tax-stamp/|/tax-answers/",2,build,Companion page — different user phrasing. Bidirectional link with P068.
P070,tax-answer,/tax-answers/how-to-get-a-suppressor-tax-stamp/,how to get a suppressor tax stamp,600,0,specialty-tax,"How to Get a Suppressor Tax Stamp: Step-by-Step Guide",500,"/tax-answers/suppressor-tax-stamp/|/tax-answers/tax-stamp-for-suppressor/|/tax-answers/",2,build,KD 0 — easy win. Numbered steps format. Cluster anchor.
P071,tax-answer,/tax-answers/tax-stamp/,tax stamp,2400,3,specialty-tax,"Tax Stamp: What It Is and When You Need One",500,"/tax-answers/suppressor-tax-stamp/|/tax-answers/tax-stamp-for-suppressor/|/tax-answers/",2,build,Broader 'tax stamp' query — hub for the suppressor tax cluster.
P072,tax-answer,/tax-answers/which-types-of-income-tax-do-people-pay/,which are types of income tax that people pay? check all that apply.,2100,0,income-concepts,"Types of Income Tax People Pay: Federal, State, FICA Explained",550,"/tax-answers/what-is-medicare-tax/|/tax-answers/sdi-tax/|/tax-answers/what-type-of-tax-for-retired-people/",2,build,KD 0 — educational query. Cover all 4 types: federal income, state income, FICA (SS+Medicare), SDI.
P073,tax-answer,/tax-answers/irs-form-843/,843,2800,3,irs-forms,"IRS Form 843: Claim for Refund and Request for Abatement",600,"/tax-answers/tax-abatement-meaning/|/tax-answers/what-is-a-tax-abatement/|/tax-answers/irs-treas-310-tax-ref/",2,build,KD 3 at 2800 vol. Form 843 = penalty abatement + refund claim. High user value.
P074,tax-answer,/tax-answers/tax-compliance/,tax compliance,2100,9,income-concepts,"Tax Compliance: What It Means and What Happens If You're Not",600,"/tax-answers/tax-abatement-meaning/|/tax-answers/what-is-tax-liability-zero/|/tax-answers/",2,build,KD 9 at 2100 vol. Define compliance + consequences + IRS audit triggers.
P075,tax-answer,/tax-answers/cpa-questions/,cpa questions,1900,1,business-self-employed,"Top CPA Questions Answered: What to Ask Your Accountant",650,"/tax-answers/how-much-do-cpas-make/|/tax-answers/tax-strategist/|/tax-answers/",2,build,KD 1 — easy win. List format: 15 questions with brief answers each.
P076,tax-answer,/tax-answers/how-much-do-cpas-make/,how much do cpas make,1900,9,business-self-employed,"How Much Do CPAs Make? 2025 Salary Data by State and Specialty",550,"/tax-answers/cpa-questions/|/tax-answers/tax-strategist/|/tax-answers/",2,build,Informational KD 9. Include BLS data ranges. Connects CPA sub-cluster.
P077,tax-answer,/tax-answers/california-sdi-tax/,california sdi tax,1400,11,state-tax,"California SDI Tax Rate 2025: Who Pays It and How Much",500,"/tax-answers/sdi-tax/|/tax-answers/what-is-sdi-tax/|/tax-answers/does-california-tax-social-security/",2,build,Completes California SDI sub-cluster. Bidirectional with P009.
P078,tax-answer,/tax-answers/business-activity-code-lookup/,business activity code lookup,1400,9,business-self-employed,"Business Activity Code Lookup: Find Your IRS Code for Schedule C",550,"/tax-answers/principal-business-code-lookup/|/tax-answers/do-llc-get-1099/|/tax-answers/",2,build,Similar to principal business code — different phrasing. Both target the same user need.
P079,tax-answer,/tax-answers/do-i-need-to-report-roth-ira-on-taxes/,do i need to report roth ira on taxes,1400,12,deductions,"Do I Need to Report My Roth IRA on Taxes? (What the IRS Requires)",500,"/tax-answers/do-you-report-roth-ira-on-taxes/|/tax-answers/are-401k-contributions-tax-deductible/|/tax-answers/",3,build,Near-duplicate of P026 phrasing. Different dominant intent (anxiety-driven). Link bidirectionally.
